ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
1;Aba altında er yatar;Bir insanın değeri giyimiyle kuşamıyla ölçülemez.;1;genel;;Canı burnuna gelmek;"Benim oğlum bina okur,
döner döner yine okur";Her kuşun eti yenmez
2;"Aba vakti aba, yaba vakti
yaba";Gereksinimler vaktinden önce ve ucuz olduğu zaman karşılanmalıdır.;1;genel;;Kapıyı göstermek;Esamisi okunmamak;Ezbere iş görmek
3;"Abanın kadri yağmurda
bilinir";Bir şeyin gerçek değeri ona gereksinim duyulduğunda anlaşılır.;1;genel;;"Dışı eli yakar, içi beni
yakar";Gemisini yürütmek;Ekmek aslanın ağzında
4;Acele ile menzil alınmaz;İvmekle daha çabuk sonuç alınır sanılmamalıdır.;1;genel;;Kuş uçurmamak;Kanaat gibi devlet olmaz;"Fukaranın tavuğu tek tek
yumurtlar"
5;Acele yürüyen yolda kalır;İş yaparken acele eden şaşırır, işini bitiremez.;1;genel;;Zor oyunu bozar;"Dereyi geçerken at
değiştirilmez";Dal gibi kalmak
6;Acı acıyı keser, su sancıyı;Bir güçlüğü yenmek için başka bir güç yola başvurulmalıdır.;1;genel;;Aman diyene kılıç kalkmaz;"Sağ elinin verdiğini sol elin
görmesin";"Evlinin bir evi var, kiracının
bin evi var"
7;Acı patlıcanı kırağı çalmaz;Herhangi bir duruma alışkın olan kimseyi benzer kötü durumlar etkilemez.;1;genel;;"Tatlı dil yılanı deliğinden
çıkarır";"Kaş yapayım derken göz
çıkarmak";"Perşembenin gelişi
çarşambadan bellidir"
8;"Acıkan ne olsa yer, acıyan ne
olsa söyler";Geçim sıkıntısı yaşayan kimse sıkıntısını gidermek için türlü yollara başvurur, canı yanan ise sonunu düşünmeden ağzına geleni söyler;1;genel;;Parmağı ağzında kalmak;Oduncunun gözü omçada;"Kırk yıl kıran olmuş, eceli
gelen ölür"
9;"Acıkmış kudurmuştan
beterdir";Uzun süre bir nesnenin yokluğunu çeken kimse, onu gördüğünde büyük bir istekle ona saldırır.     4;1;genel;;Balta değmedik ağaç olmaz;Saçını başını yolmak;"Alma mazlumun ahını, çıkar
aheste aheste"
10;"Acıyan uyumuş, acıkan
uyumamış";Her türlü sıkıntıya katlanılır, açlığa katlanılmaz.;1;genel;;Eşiğine yüz sürmek;"Irmak kenarında çeşme
yapılmaz";"On parmağında on marifet
olmak"
11;"Aç aman bilmez, çocuk
zaman bilmez";Aç hiçbir mazeretle susturulamaz, çocuk da istediği şeyi hemen elde etmek ister.;1;genel;;Etekleri zil çalmak;"Kısmet gökten zembille
inmez";"Gidip de gelmemek var,
gelip de görmemek var"
12;Aç kurt aslana saldırır;Açın gözü kararmıştır, karnını doyurmak için ölümü bile göze alarak kendisinden kat kat güçlü olan yaratıklarla boğuşur.;1;genel;;Az tamah çok ziyan getirir;Safra bastırmak;"Kız kundakta, çeyiz
sandıkta"
13;"Aç tavuk kendini arpa
ambarında sanır";İnsanlar, yokluğunu, yoksulluğunu çektikleri şeyler için olmayacak hayaller, düşler kurar.;1;genel;;"Mal da yalan mülk de
yalan, var biraz da sen oyalan";"Ne dağda bağım var ne
çakaldan davam";"Sakalım yok ki sözüm
dinlensin"
14;Açık yaraya tuz ekilmez;Acısı henüz taze olan bir kimsenin üzüntüsü, birtakım söz ve davranışlarla artırılmamalıdır.;1;genel;;"Davul dengi dengine diye
çalar";İçi cız etmek;Cendereye sokmak
15;"Adam adama yük değil, can
gövdeye mülk değil";Konuğumuzdan veya yanımıza bir iş için gelen kimseden yüksünmemeliyiz çünkü onlar yanımızda sürekli olarak kalmazlar.;1;genel;;Öpüp başına koymak;"Çok yaşayan bilmez, çok
gezen bilir";"Kader olmayınca kadir
bilinmez"
16;Adam adamı bir kez aldatır;Bir kimse başka bir kimseyi ancak bir kez aldatabilir, diğeri bir daha aldatmasına izin vermez.;1;genel;;Paha biçmek;Kalıptan kalıba girmek;"Büyük başın derdi büyük
olur"
17;Adam olana bir söz yeter;Anlayışlı olan kimse için bir şeyin bir kez söylenmesi yeterli olur.     5;1;genel;;Türkü yakmak;Zeytinyağı gibi üste çıkmak;"Çok yaşayan bilmez, çok
gezen bilir"
18;"Adamak kolay, ödemek
zordur";Söz vermek kolaydır ancak o sözü yerine getirmek zordur.;1;genel;;İnsan kıymetini insan bilir;"Ananın bastığı yavru
incinmez";Çivi çiviyi söker
19;"Adamın yere bakanından,
suyun yavaş akanından kork";Duygu ve düşüncelerini açığa vurmayan sessiz insan yavaş akan derin su gibi tehlikelidir.;1;genel;;Kaş göz işareti yapmak;Foyası meydana çıkmak;Parasını sokağa atmak
20;"Adı çıkmış dokuza, inmez
sekize";Birinin bir kere adı çıktıktan sonra onun hakkındaki yaygın inanç artık kolay kolay düzelemez.;1;genel;;Kabak tadı vermek;"Gel demesi kolay ama git
demesi güçtür";"Perşembenin gelişi
çarşambadan bellidir"
21;"Ağaca balta vurmuşlar
“sapı bedenimden” demiş";İnsana en yakını bile kötülük edebilir.;1;genel;;İçi sızlamak;Sel gider, kum kalır;"Bir kızı bin kişi ister, bir kişi
alır"
22;"Ağaca çıkan keçinin dala
bakan oğlağı olur";Çocuklar ana ve babalarından öğrendiklerini yapmaya özenirler.;1;genel;;İpe un sermek;Çizmeyi aşmak;"Sağ elinin verdiğini sol elin
görmesin"
23;"Ağaca dayanma kurur,
adama insana dayanma ölür";İnsan yapacağı işte başkalarına değil, kendine güvenmelidir.;1;genel;;Tüyleri ürpermek;"Saçın ak mı kara mı, önüne
düşünce görürsün";"Bağa bak, üzüm olsun,
yemeye yüzün olsun"
